	Entry	Entry name	Glycosylation
0	F4I443	BARD1_ARATH	
1	Q8RXD3	AIP2_ARATH	
2	P04778	CB1C_ARATH	
3	Q9FLD5	ASD_ARATH	
4	Q9M022	AIRP2_ARATH	
5	Q9C826	ABA2_ARATH	
6	A9LNK9	CPSF_ARATH	
7	Q9LEQ3	CNG18_ARATH	
8	B9DGY1	AB1K7_ARATH	
9	Q9S7C9	AHL27_ARATH	
10	P27450	CST_ARATH	
11	Q8LF80	CKB21_ARATH	
12	Q9C942	CSE_ARATH	
13	Q42572	DNLI1_ARATH	
14	Q9MAH0	CAPP1_ARATH	
15	O64883	BGL26_ARATH	
16	Q39081	CAL_ARATH	
17	Q9LJL9	CAMK2_ARATH	
18	O22806	BUBR1_ARATH	
19	Q9SIV5	C3H19_ARATH	
20	Q38900	CP19A_ARATH	
21	Q9SXL4	AHK1_ARATH	
22	O64817	CSK23_ARATH	
23	O81445	CNBL1_ARATH	
24	Q56YJ8	FAMA_ARATH	
25	P45951	ARP_ARATH	
26	O81108	ACA2_ARATH	
27	Q8VZJ1	ATXR5_ARATH	
28	Q9LKF9	CPSF2_ARATH	
29	Q9C9K7	AHL29_ARATH	
30	Q0WUR5	FAB1A_ARATH	
31	F4JQH3	AMPP1_ARATH	
32	Q9M001	CDS5_ARATH	
33	Q9LSE1	CDG1_ARATH	
34	Q9C9W9	ADO3_ARATH	
35	O81223	CNBL4_ARATH	
36	Q9SE83	DRP2A_ARATH	
37	Q75QN6	DPHS1_ARATH	
38	Q9ZPF5	ARGI2_ARATH	
39	Q9S7J7	CB22_ARATH	
40	O81346	C79B2_ARATH	
41	Q38873	CDPK7_ARATH	
42	O04292	ATBH9_ARATH	
43	Q9LKL2	APRR1_ARATH	
44	Q949P2	COPDA_ARATH	
45	Q9FKS4	ATR_ARATH	
46	Q56X52	AOX4_ARATH	
47	F4J9M5	CHR12_ARATH	
48	Q8GWS0	GRXC5_ARATH	
49	P27521	CA4_ARATH	
50	Q8RYC8	ARFS_ARATH	
51	Q9ZQI7	ALD1_ARATH	
52	Q8VY57	ARL8A_ARATH	
53	Q9MA55	ACBP4_ARATH	
54	F4HW51	CHR20_ARATH	
55	O65718	CNGC2_ARATH	
56	Q1KPV0	FZL_ARATH	
57	Q9LH52	FLOR1_ARATH	
58	Q38869	CDPK4_ARATH	
59	O22763	BZP10_ARATH	
60	O22218	ACA4_ARATH	
61	Q9LW27	C71BF_ARATH	
62	O64587	ACD11_ARATH	
63	Q9SA52	CP41B_ARATH	
64	Q94BT6	ADO1_ARATH	
65	Q94AX4	DLD_ARATH	
66	Q9ZSZ8	FIP37_ARATH	
67	P25696	ENO2_ARATH	
68	Q3E9C0	CDPKY_ARATH	
69	Q9FMK7	BT1_ARATH	
70	Q96242	CP74A_ARATH	
71	Q9LET1	CAMK7_ARATH	
72	P25070	CML24_ARATH	
73	Q9C5X4	ATX1_ARATH	
74	Q38931	FKB62_ARATH	
75	Q9FV53	DEF1A_ARATH	
76	P46668	ATHB6_ARATH	
77	O81852	AKH2_ARATH	
78	O82794	AGL24_ARATH	
79	Q9M8M7	ARGD_ARATH	
80	O80842	CFTSY_ARATH	
81	Q9FGW5	CDKG1_ARATH	
82	Q96329	ACOX4_ARATH	
83	O81851	BOI_ARATH	
84	F4JNY0	APE2_ARATH	
85	Q9LIQ9	BLI_ARATH	
86	O23304	BLUS1_ARATH	
87	Q7XJ60	EB1A_ARATH	
88	Q9LDI3	CIPKO_ARATH	
89	Q96327	EBP1_ARATH	
90	Q9S744	CML9_ARATH	
91	Q9SAR5	AKR2A_ARATH	
92	O80944	AKRC8_ARATH	
93	Q8VY26	CCD8_ARATH	
94	B9DGI8	BZP63_ARATH	
95	Q9M101	CDPKN_ARATH	
96	P42744	AXR1_ARATH	
97	Q8VZ56	AMY1_ARATH	
98	P48523	CADH4_ARATH	
99	O65282	CH20_ARATH	
100	Q84LM4	AARE_ARATH	
101	P21238	CPNA1_ARATH	
102	Q8RWE8	GGAP1_ARATH	
103	Q9SZJ5	GLYM1_ARATH	
104	O80588	EDE1_ARATH	
105	Q9M9Y4	DRIP1_ARATH	
106	Q9FGX2	BZIP1_ARATH	
107	Q05431	APX1_ARATH	
108	Q8RWK8	COIL_ARATH	
109	P46644	AAT3_ARATH	
110	Q7G193	ALDO1_ARATH	
111	P92979	APR1_ARATH	
112	Q9SXJ7	CLPC2_ARATH	
113	Q94JU3	CSN7_ARATH	
114	Q8GW43	BIOF_ARATH	
115	A3KPF2	ANM14_ARATH	
116	Q9CA67	CHLP_ARATH	
117	Q9FNB0	CHLH_ARATH	
118	Q2LAE1	ASHH2_ARATH	
119	Q84WW2	6PGL3_ARATH	
120	Q9M077	AUR1_ARATH	
121	Q9FIU5	CRLK1_ARATH	
122	O64629	AUR3_ARATH	
123	Q9LZP9	CP122_ARATH	
124	P31167	ADT1_ARATH	
125	Q9C744	AP3D_ARATH	
126	Q9LNJ9	FKGP_ARATH	
127	Q94C69	CSP3_ARATH	
128	Q9XIW0	CIPK7_ARATH	
129	Q8VZH2	APM1_ARATH	
130	Q42406	CP18D_ARATH	
131	O80775	WDR55_ARATH	
132	Q9C664	TTM2_ARATH	
133	Q9FGC7	ZEP_ARATH	
134	Q84TG3	PUB23_ARATH	
135	Q93VT9	RL101_ARATH	
136	Q9M2S6	SDIR1_ARATH	
137	Q39249	VDE_ARATH	
138	Q9STX2	VEP1_ARATH	
139	Q8VY10	UBC24_ARATH	
140	Q9SVY1	ZWIP2_ARATH	
141	Q9SCU5	WNK5_ARATH	
142	Q94KD3	VP52A_ARATH	
143	Q9SZY8	YUC1_ARATH	
144	Q84JH7	SIRB_ARATH	
145	F4I2H7	TPX2_ARATH	
146	Q9SMM5	SWT11_ARATH	
147	Q9FY94	SWT15_ARATH	
148	Q9FTA2	TCP21_ARATH	
149	Q42551	SCE1_ARATH	
150	Q93VM9	THOC1_ARATH	
151	A8MS68	PLPD1_ARATH	
152	P14713	PHYB_ARATH	
153	F4JUU5	S2P_ARATH	
154	Q8H0U5	TIC62_ARATH	
155	O23141	SPE2_ARATH	
156	Q9LF33	UGDH3_ARATH	
157	Q9C7W7	UGE4_ARATH	
158	Q6Q4D0	TONS_ARATH	
159	Q9FIA0	U76C2_ARATH	
160	F4JHH5	SC15B_ARATH	
161	Q9LVI4	TIF6B_ARATH	
162	Q9LXG0	ZHD8_ARATH	
163	Q9M9S3	WHY1_ARATH	
164	F4I3V6	SHW1_ARATH	
165	Q56YA5	SGAT_ARATH	
166	Q8SAB7	SPK1_ARATH	
167	Q9LR44	U75B1_ARATH	
168	Q8RYD9	TT16_ARATH	
169	Q9FEN9	SHL_ARATH	
170	Q0WW55	ZEUS1_ARATH	
171	O81283	TC159_ARATH	
172	O48791	SCAB1_ARATH	
173	Q56WD9	THIK2_ARATH	
174	P11574	VATB1_ARATH	
175	Q94K05	TCPQ_ARATH	
176	F4JVN6	TPPII_ARATH	
177	Q9SI64	SPE1_ARATH	
178	Q9LVR1	U72E2_ARATH	
179	Q9XIJ5	PUB18_ARATH	
180	Q96301	SPY_ARATH	
181	Q9LMA8	TI10A_ARATH	
182	Q9C5V6	TOP6B_ARATH	
183	Q9C9D0	SOT16_ARATH	
184	O23654	VATA_ARATH	
185	Q8S8P5	WRK33_ARATH	
186	Q9SRH5	VDAC1_ARATH	
187	Q39238	TSL_ARATH	
188	Q9LK34	UKL2_ARATH	
189	Q9M0E5	VPS15_ARATH	
190	Q949W8	XK2_ARATH	
191	Q9SYM4	TPS1_ARATH	
192	Q9SKD9	WRK46_ARATH	
193	B5X0I6	VIP6_ARATH	
194	P0DKH5	WRK52_ARATH	
195	Q93WU8	WRK54_ARATH	
196	Q8RWZ7	VHAA1_ARATH	
197	Q39232	SUC1_ARATH	
198	Q39234	TGA3_ARATH	
199	Q8VZ10	SOQ1_ARATH	
200	Q9CAD5	YODA_ARATH	
201	F4I9J7	Y14_ARATH	
202	Q9MA75	VIP1_ARATH	
203	Q93VQ0	VCL1_ARATH	
204	Q9M336	UPP_ARATH	
205	P35131	UBC8_ARATH	
206	Q8L4R0	TGD1_ARATH	
207	Q9M394	SCKL1_ARATH	
208	Q94A97	UBC35_ARATH	
209	Q9SMX3	VDAC3_ARATH	
210	Q9SB92	WUS_ARATH	
211	Q39258	VATE1_ARATH	
212	Q5M731	TPS1L_ARATH	
213	Q8GUQ8	XDH1_ARATH	
214	Q7XA86	ZDH11_ARATH	
215	Q9SIY3	TTM3_ARATH	
216	F4J8C6	VIP1L_ARATH	
217	O82245	TSPO_ARATH	
218	Q8L7G0	ARFA_ARATH	
219	Q9SU08	AUXI1_ARATH	
220	Q9FXD6	ARR11_ARATH	
221	Q38838	AGL14_ARATH	
222	Q944A7	BSK1_ARATH	
223	Q9LSF8	C82G1_ARATH	
224	P43254	COP1_ARATH	
225	Q7GB25	AB5C_ARATH	
226	Q9ZUZ2	CAMK3_ARATH	
227	Q9LS40	ASPG1_ARATH	
228	Q6EVK6	BRM_ARATH	
229	Q9STS7	CHL_ARATH	
230	Q8W4I6	BPG2_ARATH	
231	P42762	CLPD_ARATH	
232	Q5XF33	CHLI2_ARATH	
233	O49434	AAH_ARATH	
234	F4IH31	CAN2_ARATH	
